State,Season,MMWR Week,Week ending date,Age Category,Sex,Race,Rate,Cumulative Rate
Entire Network (RSV-NET),2016-2017,40,10/08/2016 12:00:00 AM,----18-29 years,Overall,Overall,0,0
Entire Network (RSV-NET),2016-2017,41,10/15/2016 12:00:00 AM,----18-29 years,Overall,Overall,0,0.1
Entire Network (RSV-NET),2016-2017,42,10/22/2016 12:00:00 AM,----18-29 years,Overall,Overall,0,0.1
Entire Network (RSV-NET),2016-2017,43,10/29/2016 12:00:00 AM,----18-29 years,Overall,Overall,0,0.1
Entire Network (RSV-NET),2016-2017,44,11/05/2016 12:00:00 AM,----18-29 years,Overall,Overall,0,0.1
Entire Network (RSV-NET),2016-2017,45,11/12/2016 12:00:00 AM,----18-29 years,Overall,Overall,0,0.2
Entire Network (RSV-NET),2016-2017,46,11/19/2016 12:00:00 AM,----18-29 years,Overall,Overall,0,0.2
Entire Network (RSV-NET),2016-2017,47,11/26/2016 12:00:00 AM,----18-29 years,Overall,Overall,0,0.2
Entire Network (RSV-NET),2016-2017,48,12/03/2016 12:00:00 AM,----18-29 years,Overall,Overall,0.1,0.3
Entire Network (RSV-NET),2016-2017,49,12/10/2016 12:00:00 AM,----18-29 years,Overall,Overall,0.1,0.3
Entire Network (RSV-NET),2016-2017,50,12/17/2016 12:00:00 AM,----18-29 years,Overall,Overall,0,0.4
Entire Network (RSV-NET),2016-2017,51,12/24/2016 12:00:00 AM,----18-29 years,Overall,Overall,0,0.4
Entire Network (RSV-NET),2016-2017,52,12/31/2016 12:00:00 AM,----18-29 years,Overall,Overall,0.1,0.5
Entire Network (RSV-NET),2016-2017,1,01/07/2017 12:00:00 AM,----18-29 years,Overall,Overall,0.1,0.6
Entire Network (RSV-NET),2016-2017,2,01/14/2017 12:00:00 AM,----18-29 years,Overall,Overall,0.2,0.8
Entire Network (RSV-NET),2016-2017,3,01/21/2017 12:00:00 AM,----18-29 years,Overall,Overall,0.2,0.9
Entire Network (RSV-NET),2016-2017,4,01/28/2017 12:00:00 AM,----18-29 years,Overall,Overall,0.1,1
Entire Network (RSV-NET),2016-2017,5,02/04/2017 12:00:00 AM,----18-29 years,Overall,Overall,0.1,1.1
Entire Network (RSV-NET),2016-2017,6,02/11/2017 12:00:00 AM,----18-29 years,Overall,Overall,0.1,1.2
Entire Network (RSV-NET),2016-2017,7,02/18/2017 12:00:00 AM,----18-29 years,Overall,Overall,0,1.2
Entire Network (RSV-NET),2016-2017,8,02/25/2017 12:00:00 AM,----18-29 years,Overall,Overall,0.1,1.3
Entire Network (RSV-NET),2016-2017,9,03/04/2017 12:00:00 AM,----18-29 years,Overall,Overall,0.1,1.3
Entire Network (RSV-NET),2016-2017,10,03/11/2017 12:00:00 AM,----18-29 years,Overall,Overall,0,1.4
Entire Network (RSV-NET),2016-2017,11,03/18/2017 12:00:00 AM,----18-29 years,Overall,Overall,0,1.4
Entire Network (RSV-NET),2016-2017,12,03/25/2017 12:00:00 AM,----18-29 years,Overall,Overall,0,1.4
Entire Network (RSV-NET),2016-2017,13,04/01/2017 12:00:00 AM,----18-29 years,Overall,Overall,0,1.4
Entire Network (RSV-NET),2016-2017,14,04/08/2017 12:00:00 AM,----18-29 years,Overall,Overall,0,1.5
Entire Network (RSV-NET),2016-2017,15,04/15/2017 12:00:00 AM,----18-29 years,Overall,Overall,0,1.5
Entire Network (RSV-NET),2016-2017,16,04/22/2017 12:00:00 AM,----18-29 years,Overall,Overall,0,1.5
Entire Network (RSV-NET),2016-2017,17,04/29/2017 12:00:00 AM,----18-29 years,Overall,Overall,0,1.5
Entire Network (RSV-NET),2016-2017,18,05/06/2017 12:00:00 AM,----18-29 years,Overall,Overall,0,1.5
Entire Network (RSV-NET),2016-2017,40,10/08/2016 12:00:00 AM,----30-39 years,Overall,Overall,0,0
Entire Network (RSV-NET),2016-2017,41,10/15/2016 12:00:00 AM,----30-39 years,Overall,Overall,0,0
Entire Network (RSV-NET),2016-2017,42,10/22/2016 12:00:00 AM,----30-39 years,Overall,Overall,0,0
Entire Network (RSV-NET),2016-2017,43,10/29/2016 12:00:00 AM,----30-39 years,Overall,Overall,0,0
Entire Network (RSV-NET),2016-2017,44,11/05/2016 12:00:00 AM,----30-39 years,Overall,Overall,0,0
Entire Network (RSV-NET),2016-2017,45,11/12/2016 12:00:00 AM,----30-39 years,Overall,Overall,0,0
Entire Network (RSV-NET),2016-2017,46,11/19/2016 12:00:00 AM,----30-39 years,Overall,Overall,0,0.1
Entire Network (RSV-NET),2016-2017,47,11/26/2016 12:00:00 AM,----30-39 years,Overall,Overall,0.1,0.2
Entire Network (RSV-NET),2016-2017,48,12/03/2016 12:00:00 AM,----30-39 years,Overall,Overall,0.1,0.3
Entire Network (RSV-NET),2016-2017,49,12/10/2016 12:00:00 AM,----30-39 years,Overall,Overall,0,0.3
Entire Network (RSV-NET),2016-2017,50,12/17/2016 12:00:00 AM,----30-39 years,Overall,Overall,0.1,0.5
Entire Network (RSV-NET),2016-2017,51,12/24/2016 12:00:00 AM,----30-39 years,Overall,Overall,0.1,0.5
Entire Network (RSV-NET),2016-2017,52,12/31/2016 12:00:00 AM,----30-39 years,Overall,Overall,0.1,0.6
Entire Network (RSV-NET),2016-2017,1,01/07/2017 12:00:00 AM,----30-39 years,Overall,Overall,0.2,0.8
Entire Network (RSV-NET),2016-2017,2,01/14/2017 12:00:00 AM,----30-39 years,Overall,Overall,0.1,0.9
Entire Network (RSV-NET),2016-2017,3,01/21/2017 12:00:00 AM,----30-39 years,Overall,Overall,0,0.9
