id,data_source,country,hemisphere,week,year,age_group,hsp_rate,hsp_rate_flu,hsp_rate_rsv,hsp_rate_covid19,cases_rate_flu,cases_rate_rsv,cases_rate_covid19,hsp_abs,hsp_abs_flu,hsp_abs_rsv,hsp_abs_covid,cases_abs_flu,cases_abs_rsv,cases_abs_covid19,denominator,subtype_a_abs,subtype_b_abs,subtype_c_abs,subtype_a_rate,subtype_b_rate,subtype_c_rate
192,EPI MINSAL,CL,SH,36,2019,ALL,11.17,4.01,7.15,0,NA,NA,NA,64,23,41,0,NA,NA,NA,19107216,NA,NA,NA,NA,NA,NA
193,EPI MINSAL,CL,SH,37,2019,ALL,6.98,3.49,3.49,0,NA,NA,NA,40,20,20,0,NA,NA,NA,19107216,NA,NA,NA,NA,NA,NA
194,EPI MINSAL,CL,SH,38,2019,ALL,6.45,2.97,3.49,0,NA,NA,NA,37,17,20,0,NA,NA,NA,19107216,NA,NA,NA,NA,NA,NA
195,EPI MINSAL,CL,SH,39,2019,ALL,4.71,2.09,2.62,0,NA,NA,NA,27,12,15,0,NA,NA,NA,19107216,NA,NA,NA,NA,NA,NA
196,EPI MINSAL,CL,SH,40,2019,ALL,2.79,2.09,0.7,0,NA,NA,NA,16,12,4,0,NA,NA,NA,19107216,NA,NA,NA,NA,NA,NA
197,EPI MINSAL,CL,SH,41,2019,ALL,1.74,1.4,0.35,0,NA,NA,NA,10,8,2,0,NA,NA,NA,19107216,NA,NA,NA,NA,NA,NA
198,EPI MINSAL,CL,SH,42,2019,ALL,0.87,0.17,0.7,0,NA,NA,NA,5,1,4,0,NA,NA,NA,19107216,NA,NA,NA,NA,NA,NA
199,EPI MINSAL,CL,SH,43,2019,ALL,2.09,1.4,0.7,0,NA,NA,NA,12,8,4,0,NA,NA,NA,19107216,NA,NA,NA,NA,NA,NA
200,EPI MINSAL,CL,SH,44,2019,ALL,1.4,0.7,0.7,0,NA,NA,NA,8,4,4,0,NA,NA,NA,19107216,NA,NA,NA,NA,NA,NA
201,EPI MINSAL,CL,SH,45,2019,ALL,0.35,0,0.35,0,NA,NA,NA,2,0,2,0,NA,NA,NA,19107216,NA,NA,NA,NA,NA,NA
202,EPI MINSAL,CL,SH,46,2019,ALL,0.35,0.17,0.17,0,NA,NA,NA,2,1,1,0,NA,NA,NA,19107216,NA,NA,NA,NA,NA,NA
203,EPI MINSAL,CL,SH,47,2019,ALL,0.17,0,0.17,0,NA,NA,NA,1,0,1,0,NA,NA,NA,19107216,NA,NA,NA,NA,NA,NA
204,EPI MINSAL,CL,SH,48,2019,ALL,0.35,0.17,0.17,0,NA,NA,NA,2,1,1,0,NA,NA,NA,19107216,NA,NA,NA,NA,NA,NA
205,EPI MINSAL,CL,SH,49,2019,ALL,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,19107216,NA,NA,NA,NA,NA,NA
206,EPI MINSAL,CL,SH,50,2019,ALL,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,19107216,NA,NA,NA,NA,NA,NA
207,EPI MINSAL,CL,SH,51,2019,ALL,0.35,0.35,0,0,NA,NA,NA,2,2,0,0,NA,NA,NA,19107216,NA,NA,NA,NA,NA,NA
208,EPI MINSAL,CL,SH,52,2019,ALL,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,19107216,NA,NA,NA,NA,NA,NA
209,EPI MINSAL,CL,SH,1,2022,ALL,11.6,2.52,0.17,8.91,NA,NA,NA,69,15,1,53,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
210,EPI MINSAL,CL,SH,2,2022,ALL,14.12,3.36,0,10.76,NA,NA,NA,84,20,0,64,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
211,EPI MINSAL,CL,SH,3,2022,ALL,10.76,2.69,0,8.07,NA,NA,NA,64,16,0,48,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
212,EPI MINSAL,CL,SH,4,2022,ALL,8.57,1.85,0,6.72,NA,NA,NA,51,11,0,40,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
213,EPI MINSAL,CL,SH,5,2022,ALL,11.77,1.68,0,10.09,NA,NA,NA,70,10,0,60,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
214,EPI MINSAL,CL,SH,6,2022,ALL,8.91,1.18,0,7.73,NA,NA,NA,53,7,0,46,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
215,EPI MINSAL,CL,SH,7,2022,ALL,7.23,0.5,0,6.72,NA,NA,NA,43,3,0,40,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
216,EPI MINSAL,CL,SH,8,2022,ALL,9.75,0.67,0,9.08,NA,NA,NA,58,4,0,54,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
217,EPI MINSAL,CL,SH,9,2022,ALL,9.58,0.34,0.17,9.08,NA,NA,NA,57,2,1,54,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
218,EPI MINSAL,CL,SH,10,2022,ALL,11.1,0.5,0,10.59,NA,NA,NA,66,3,0,63,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
219,EPI MINSAL,CL,SH,11,2022,ALL,13.95,0.34,0,13.62,NA,NA,NA,83,2,0,81,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
220,EPI MINSAL,CL,SH,12,2022,ALL,16.98,1.18,0.17,15.63,NA,NA,NA,101,7,1,93,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
221,EPI MINSAL,CL,SH,13,2022,ALL,16.47,1.34,0,15.13,NA,NA,NA,98,8,0,90,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
222,EPI MINSAL,CL,SH,14,2022,ALL,15.3,1.18,0.17,13.95,NA,NA,NA,91,7,1,83,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
223,EPI MINSAL,CL,SH,15,2022,ALL,19.16,3.36,0.17,15.63,NA,NA,NA,114,20,1,93,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
224,EPI MINSAL,CL,SH,16,2022,ALL,23.37,3.19,0,20.17,NA,NA,NA,139,19,0,120,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
225,EPI MINSAL,CL,SH,17,2022,ALL,30.43,5.72,0.34,24.38,NA,NA,NA,181,34,2,145,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
226,EPI MINSAL,CL,SH,18,2022,ALL,43.54,11.26,1.18,31.1,NA,NA,NA,259,67,7,185,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
227,EPI MINSAL,CL,SH,19,2022,ALL,42.2,11.43,0.84,29.92,NA,NA,NA,251,68,5,178,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
228,EPI MINSAL,CL,SH,20,2022,ALL,49.42,13.78,1.68,33.96,NA,NA,NA,294,82,10,202,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
229,EPI MINSAL,CL,SH,21,2022,ALL,48.25,16.14,1.85,30.26,NA,NA,NA,287,96,11,180,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
230,EPI MINSAL,CL,SH,22,2022,ALL,49.76,16.64,1.51,31.6,NA,NA,NA,296,99,9,188,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
231,EPI MINSAL,CL,SH,23,2022,ALL,52.95,17.65,2.69,32.61,NA,NA,NA,315,105,16,194,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
232,EPI MINSAL,CL,SH,24,2022,ALL,50.77,15.47,4.03,31.27,NA,NA,NA,302,92,24,186,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
233,EPI MINSAL,CL,SH,25,2022,ALL,49.42,16.81,3.19,29.42,NA,NA,NA,294,100,19,175,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
234,EPI MINSAL,CL,SH,26,2022,ALL,45.39,12.61,4.03,28.75,NA,NA,NA,270,75,24,171,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
235,EPI MINSAL,CL,SH,27,2022,ALL,42.53,11.94,5.72,24.88,NA,NA,NA,253,71,34,148,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
236,EPI MINSAL,CL,SH,28,2022,ALL,37.66,8.74,5.38,23.54,NA,NA,NA,224,52,32,140,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
237,EPI MINSAL,CL,SH,29,2022,ALL,27.57,6.05,3.87,17.65,NA,NA,NA,164,36,23,105,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
238,EPI MINSAL,CL,SH,30,2022,ALL,29.59,5.55,3.7,20.34,NA,NA,NA,176,33,22,121,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
239,EPI MINSAL,CL,SH,31,2022,ALL,26.9,5.21,3.7,17.99,NA,NA,NA,160,31,22,107,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
240,EPI MINSAL,CL,SH,32,2022,ALL,31.44,6.39,4.88,20.17,NA,NA,NA,187,38,29,120,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
241,EPI MINSAL,CL,SH,33,2022,ALL,27.07,3.7,3.7,19.67,NA,NA,NA,161,22,22,117,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
242,EPI MINSAL,CL,SH,34,2022,ALL,29.25,4.71,4.54,20,NA,NA,NA,174,28,27,119,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
243,EPI MINSAL,CL,SH,35,2022,ALL,31.6,5.21,5.04,21.35,NA,NA,NA,188,31,30,127,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
244,EPI MINSAL,CL,SH,36,2022,ALL,29.08,4.37,4.2,20.51,NA,NA,NA,173,26,25,122,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
245,EPI MINSAL,CL,SH,37,2022,ALL,18.32,2.69,1.68,13.95,NA,NA,NA,109,16,10,83,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
246,EPI MINSAL,CL,SH,38,2022,ALL,19.33,2.69,1.68,14.96,NA,NA,NA,115,16,10,89,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
247,EPI MINSAL,CL,SH,39,2022,ALL,22.36,2.35,1.68,18.32,NA,NA,NA,133,14,10,109,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
248,EPI MINSAL,CL,SH,40,2022,ALL,21.01,2.02,1.18,17.82,NA,NA,NA,125,12,7,106,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
249,EPI MINSAL,CL,SH,41,2022,ALL,19.5,2.19,0.34,16.98,NA,NA,NA,116,13,2,101,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
250,EPI MINSAL,CL,SH,42,2022,ALL,22.86,4.03,0.84,17.99,NA,NA,NA,136,24,5,107,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
251,EPI MINSAL,CL,SH,43,2022,ALL,25.22,5.21,0.5,19.5,NA,NA,NA,150,31,3,116,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
252,EPI MINSAL,CL,SH,44,2022,ALL,26.73,7.9,0.84,17.99,NA,NA,NA,159,47,5,107,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
253,EPI MINSAL,CL,SH,45,2022,ALL,25.38,5.88,0.67,18.83,NA,NA,NA,151,35,4,112,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
254,EPI MINSAL,CL,SH,46,2022,ALL,29.08,6.89,1.34,20.85,NA,NA,NA,173,41,8,124,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
255,EPI MINSAL,CL,SH,47,2022,ALL,26.22,6.22,1.01,19,NA,NA,NA,156,37,6,113,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
256,EPI MINSAL,CL,SH,48,2022,ALL,30.26,9.25,0.5,20.51,NA,NA,NA,180,55,3,122,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
257,EPI MINSAL,CL,SH,49,2022,ALL,29.25,6.05,1.68,21.52,NA,NA,NA,174,36,10,128,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
258,EPI MINSAL,CL,SH,50,2022,ALL,26.73,4.2,1.68,20.85,NA,NA,NA,159,25,10,124,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
259,EPI MINSAL,CL,SH,51,2022,ALL,21.01,3.36,0.67,16.98,NA,NA,NA,125,20,4,101,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
260,EPI MINSAL,CL,SH,52,2022,ALL,4.88,0.17,0.34,4.37,NA,NA,NA,29,1,2,26,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
