"","year","id","data_source","country","hemisphere","week","age_group","hsp_rate","hsp_rate_flu","hsp_rate_rsv","hsp_rate_covid19","cases_rate_flu","cases_rate_rsv","cases_rate_covid19","hsp_abs","hsp_abs_flu","hsp_abs_rsv","hsp_abs_covid","cases_abs_flu","cases_abs_rsv","cases_abs_covid","denominator","subtype_a_abs","subtype_b_abs","subtype_c_abs","subtype_a_rate","subtype_b_rate","subtype_c_rate"
"1",2017,80,"UKHSA","UK","NH",40,"ALL",1.46304494142532,0.137391984462738,1.32565295696259,NA,NA,NA,NA,813.737257064599,76.4166386238635,737.320618440735,NA,NA,NA,NA,55619430,NA,NA,NA,NA,NA,NA
"2",2017,107,"UKHSA","UK","NH",49,"ALL",3.27254766225815,0.777976453304291,2.49457120895386,NA,NA,NA,NA,1820.17235622631,432.706068862063,1387.46628736424,NA,NA,NA,NA,55619430,NA,NA,NA,NA,NA,NA
"3",2017,95,"UKHSA","UK","NH",45,"ALL",3.46051839739084,0.0679729357361794,3.39254546165466,NA,NA,NA,NA,1924.72060767392,37.8061594107293,1886.91444826319,NA,NA,NA,NA,55619430,NA,NA,NA,NA,NA,NA
"4",2017,83,"UKHSA","UK","NH",41,"ALL",1.90489069372416,0.0813287869095802,1.82356190681458,NA,NA,NA,NA,1059.48934597242,45.2346077050231,1014.2547382674,NA,NA,NA,NA,55619430,NA,NA,NA,NA,NA,NA
"5",2017,110,"UKHSA","UK","NH",50,"ALL",3.43885338306427,1.29475915431976,2.14409422874451,NA,NA,NA,NA,1912.67065019606,720.137661505473,1192.53298869059,NA,NA,NA,NA,55619430,NA,NA,NA,NA,NA,NA
"6",2017,98,"UKHSA","UK","NH",46,"ALL",4.1055503487587,0.245308220386505,3.86024212837219,NA,NA,NA,NA,2283.4837023426,136.439033922118,2147.04466842048,NA,NA,NA,NA,55619430,NA,NA,NA,NA,NA,NA
"7",2017,86,"UKHSA","UK","NH",42,"ALL",3.06119074672461,0.0628730282187462,2.99831771850586,NA,NA,NA,NA,1702.61684454097,34.9696199190058,1667.64722462196,NA,NA,NA,NA,55619430,NA,NA,NA,NA,NA,NA
"8",2017,113,"UKHSA","UK","NH",51,"ALL",4.65342462062836,2.8526029586792,1.80082166194916,NA,NA,NA,NA,2588.20824947315,1586.60150578051,1001.60674369265,NA,NA,NA,NA,55619430,NA,NA,NA,NA,NA,NA
"9",2017,101,"UKHSA","UK","NH",47,"ALL",3.46674376726151,0.346597969532013,3.12014579772949,NA,NA,NA,NA,1928.18312291138,192.775815045279,1735.4073078661,NA,NA,NA,NA,55619430,NA,NA,NA,NA,NA,NA
"10",2017,89,"UKHSA","UK","NH",43,"ALL",4.11847941577435,0.107838317751884,4.01064109802246,NA,NA,NA,NA,2290.67477572102,59.9790576551869,2230.69571806583,NA,NA,NA,NA,55619430,NA,NA,NA,NA,NA,NA
