WHO region,Influenza transmission zone,"Country, area or territory",Surveillance site type,Year,Week,Start date,Specimens received,Specimens processed,A (H1),A (H1N1)pdm09,A (H3),A (H5),A (not subtyped),A (Total),B (Yamagata lineage) ,B (Victoria lineage),B (not determined) ,B (Total),Influenza positive specimens,Influenza negative specimens,ILI activity
AMR,Temperate South America,Chile,Non-sentinel,2022,23,06/06/2022,,3519,0,0,134,,208,342,0,0,0,0,342,3177,No Report
AMR,Temperate South America,Chile,Sentinel,2022,23,06/06/2022,,392,0,0,23,,52,75,0,0,0,0,75,317,No Report
AMR,Temperate South America,Chile,Non-sentinel,2022,24,13/06/2022,,3445,0,0,139,,183,322,0,0,0,0,322,3123,No Report
AMR,Temperate South America,Chile,Sentinel,2022,24,13/06/2022,,345,0,0,11,,37,48,0,0,0,0,48,297,No Report
AMR,Temperate South America,Chile,Non-sentinel,2022,25,20/06/2022,,3321,0,1,120,,160,281,0,0,0,0,281,3040,No Report
AMR,Temperate South America,Chile,Sentinel,2022,25,20/06/2022,,366,0,0,18,,46,64,0,0,0,0,64,302,No Report
AMR,Temperate South America,Chile,Non-sentinel,2022,26,27/06/2022,,3068,0,0,128,,136,264,0,0,0,0,264,2804,No Report
AMR,Temperate South America,Chile,Sentinel,2022,26,27/06/2022,,296,0,0,8,,24,32,0,0,0,0,32,264,No Report
AMR,Temperate South America,Chile,Non-sentinel,2022,27,04/07/2022,,2848,0,0,117,,94,211,0,0,0,0,211,2637,No Report
AMR,Temperate South America,Chile,Sentinel,2022,27,04/07/2022,,312,0,0,15,,22,37,0,0,0,0,37,275,No Report
AMR,Temperate South America,Chile,Non-sentinel,2022,28,11/07/2022,,2481,0,0,108,,85,193,0,0,0,0,193,2288,No Report
AMR,Temperate South America,Chile,Sentinel,2022,28,11/07/2022,,240,0,0,14,,18,32,0,0,1,1,33,207,No Report
AMR,Temperate South America,Chile,Non-sentinel,2022,29,18/07/2022,,2092,0,0,85,,66,151,0,0,0,0,151,1941,No Report
AMR,Temperate South America,Chile,Sentinel,2022,29,18/07/2022,,214,0,0,3,,19,22,0,0,0,0,22,192,No Report
AMR,Temperate South America,Chile,Non-sentinel,2022,30,25/07/2022,,1892,0,0,106,,38,144,0,0,0,0,144,1748,No Report
AMR,Temperate South America,Chile,Sentinel,2022,30,25/07/2022,,211,0,0,7,,25,32,0,0,0,0,32,179,No Report
AMR,Temperate South America,Chile,Non-sentinel,2022,31,01/08/2022,,2251,0,0,107,,69,176,0,0,0,0,176,2075,No Report
AMR,Temperate South America,Chile,Sentinel,2022,31,01/08/2022,,298,0,0,11,,32,43,0,0,0,0,43,255,No Report
AMR,Temperate South America,Chile,Non-sentinel,2022,32,08/08/2022,,2670,0,0,117,,111,228,0,0,0,0,228,2442,No Report
AMR,Temperate South America,Chile,Sentinel,2022,32,08/08/2022,,353,0,1,10,,28,39,0,0,0,0,39,314,No Report
AMR,Temperate South America,Chile,Non-sentinel,2022,33,15/08/2022,,2609,0,0,102,,69,171,0,0,0,0,171,2438,No Report
AMR,Temperate South America,Chile,Sentinel,2022,33,15/08/2022,,252,0,0,6,,16,22,0,0,0,0,22,230,No Report
AMR,Temperate South America,Chile,Non-sentinel,2022,34,22/08/2022,,2553,0,0,97,,65,162,0,0,0,0,162,2391,No Report
AMR,Temperate South America,Chile,Sentinel,2022,34,22/08/2022,,294,0,0,5,,22,27,0,0,0,0,27,267,No Report
AMR,Temperate South America,Chile,Non-sentinel,2022,35,29/08/2022,,2437,0,0,60,,60,120,0,0,0,0,120,2317,No Report
AMR,Temperate South America,Chile,Sentinel,2022,35,29/08/2022,,269,0,0,5,,3,8,0,0,0,0,8,261,No Report
AMR,Temperate South America,Chile,Non-sentinel,2022,36,05/09/2022,,2282,0,0,72,,51,123,0,0,0,0,123,2159,No Report
AMR,Temperate South America,Chile,Sentinel,2022,36,05/09/2022,,269,0,0,5,,21,26,0,0,0,0,26,243,No Report
AMR,Temperate South America,Chile,Non-sentinel,2022,37,12/09/2022,,1968,0,0,60,,39,99,0,0,0,0,99,1869,No Report
AMR,Temperate South America,Chile,Sentinel,2022,37,12/09/2022,,175,0,0,4,,6,10,0,0,0,0,10,165,No Report
AMR,Temperate South America,Chile,Non-sentinel,2022,38,19/09/2022,,1998,0,0,48,,71,119,0,0,0,0,119,1879,No Report
AMR,Temperate South America,Chile,Sentinel,2022,38,19/09/2022,,172,0,0,2,,12,14,0,0,0,0,14,158,No Report
AMR,Temperate South America,Chile,Non-sentinel,2022,39,26/09/2022,,2090,0,0,81,,74,155,0,0,0,0,155,1935,No Report
AMR,Temperate South America,Chile,Sentinel,2022,39,26/09/2022,,188,0,0,2,,7,9,0,0,0,0,9,179,No Report
AMR,Temperate South America,Chile,Non-sentinel,2022,40,03/10/2022,,1990,0,2,91,,115,208,0,2,0,2,210,1780,No Report
AMR,Temperate South America,Chile,Sentinel,2022,40,03/10/2022,,198,0,0,4,,23,27,0,0,0,0,27,171,No Report
AMR,Temperate South America,Chile,Non-sentinel,2022,41,10/10/2022,,2102,0,3,108,,229,340,0,1,0,1,341,1761,No Report
AMR,Temperate South America,Chile,Sentinel,2022,41,10/10/2022,,221,0,0,6,,46,52,0,0,0,0,52,169,No Report
AMR,Temperate South America,Chile,Non-sentinel,2022,42,17/10/2022,,2716,0,3,138,,509,650,0,0,1,1,651,2065,No Report
AMR,Temperate South America,Chile,Sentinel,2022,42,17/10/2022,,275,0,1,7,,74,82,0,0,0,0,82,193,No Report
AMR,Temperate South America,Chile,Non-sentinel,2022,43,24/10/2022,,3158,0,5,110,,803,918,0,1,0,1,919,2239,No Report
AMR,Temperate South America,Chile,Sentinel,2022,43,24/10/2022,,267,0,0,23,,73,96,0,0,0,0,96,171,No Report
AMR,Temperate South America,Chile,Non-sentinel,2022,44,31/10/2022,,3019,0,2,121,,768,891,0,3,0,3,894,2125,No Report
AMR,Temperate South America,Chile,Sentinel,2022,44,31/10/2022,,284,0,1,29,,69,99,0,0,1,1,100,184,No Report
AMR,Temperate South America,Chile,Non-sentinel,2022,45,07/11/2022,,3118,0,3,139,,712,854,0,7,0,7,861,2257,No Report
AMR,Temperate South America,Chile,Sentinel,2022,45,07/11/2022,,316,0,0,23,,96,119,0,0,0,0,119,197,No Report
AMR,Temperate South America,Chile,Non-sentinel,2022,46,14/11/2022,,3064,0,6,157,,600,763,0,3,5,8,771,2293,No Report
AMR,Temperate South America,Chile,Sentinel,2022,46,14/11/2022,,309,0,1,31,,71,103,0,0,1,1,104,205,No Report
AMR,Temperate South America,Chile,Non-sentinel,2022,47,21/11/2022,,2886,0,7,109,,478,594,0,6,0,6,600,2286,No Report
AMR,Temperate South America,Chile,Sentinel,2022,47,21/11/2022,,275,0,3,18,,53,74,0,0,0,0,74,201,No Report
AMR,Temperate South America,Chile,Non-sentinel,2022,48,28/11/2022,,2465,0,5,107,,362,474,0,6,3,9,483,1982,No Report
AMR,Temperate South America,Chile,Sentinel,2022,48,28/11/2022,,324,0,2,26,,66,94,0,0,1,1,95,229,No Report
AMR,Temperate South America,Chile,Non-sentinel,2022,49,05/12/2022,,2189,0,8,100,,199,307,0,8,1,9,316,1873,No Report
AMR,Temperate South America,Chile,Sentinel,2022,49,05/12/2022,,241,0,0,14,,31,45,0,0,0,0,45,196,No Report
AMR,Temperate South America,Chile,Non-sentinel,2022,50,12/12/2022,,2077,0,9,72,,95,176,0,13,3,16,192,1885,No Report
AMR,Temperate South America,Chile,Sentinel,2022,50,12/12/2022,,206,0,2,11,,23,36,0,0,3,3,39,167,No Report
AMR,Temperate South America,Chile,Non-sentinel,2022,51,19/12/2022,,1871,0,4,25,,61,90,0,12,4,16,106,1765,No Report
AMR,Temperate South America,Chile,Sentinel,2022,51,19/12/2022,,181,0,0,7,,8,15,0,0,3,3,18,163,No Report
AMR,Temperate South America,Chile,Non-sentinel,2022,52,26/12/2022,,1674,0,0,23,,49,72,0,6,3,9,81,1593,No Report
AMR,Temperate South America,Chile,Sentinel,2022,52,26/12/2022,,114,0,1,0,,7,8,0,0,3,3,11,103,No Report
