"","Week","Total","A00..04","A05..09","A10..14","A15..19","A20..24","A25..29","A30..34","A35..39","A40..44","A45..49","A50..54","A55..59","A60..64","A65..69","A70..74","A75..79","A80+","Unknown","year","pathogen"
"278",18,"0.03","0.48","0.03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.02",0.02,0.03,NA,NA,NA,2018,"RSV"
"279",19,"0.01","0.2","0.08",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.02",NA,NA,NA,NA,NA,NA,2018,"RSV"
"280",20,"0.01","0.23",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.01",NA,NA,0.02,NA,NA,NA,NA,2018,"RSV"
"281",21,"0","0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"RSV"
"282",22,"0","0.03","0.03","0.03","0.02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"RSV"
"283",23,"0","0.03",NA,"0.03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"RSV"
"284",24,"0","0.08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"RSV"
"285",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"RSV"
"286",26,"0","0.03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"RSV"
"287",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"RSV"
"288",28,"0","0.03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"RSV"
"289",29,"0","0.03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"RSV"
"290",30,"0",NA,NA,"0.03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,NA,NA,2018,"RSV"
"291",31,"0","0.03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"RSV"
"292",32,"0",NA,NA,NA,NA,NA,NA,NA,NA,"0.02",NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"RSV"
"293",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"RSV"
"294",34,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,NA,2018,"RSV"
"295",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"RSV"
"296",36,"0","0.03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"RSV"
"297",37,"0",NA,"0.03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"RSV"
"298",38,"0","0.03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"RSV"
"299",39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"RSV"
"300",40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"RSV"
"301",41,"0","0.03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"RSV"
"302",42,"0",NA,NA,NA,NA,NA,NA,NA,NA,"0.02",NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"RSV"
"303",43,"0","0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"RSV"
"304",44,"0","0.03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"RSV"
"305",45,"0","0.05","0.03","0.03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"RSV"
"306",46,"0","0.18","0.03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"RSV"
"307",47,"0","0.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"RSV"
"308",48,"0.02","0.38","0.03",NA,"0.02",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,NA,0.02,NA,NA,2018,"RSV"
"309",49,"0.03","0.54",NA,"0.03",NA,NA,NA,NA,NA,NA,"0.02",NA,NA,"0.02",0.02,0.03,NA,NA,NA,2018,"RSV"
"310",50,"0.06","1.15","0.05","0.03",NA,"0.02",NA,NA,"0.02",NA,NA,NA,NA,NA,NA,NA,NA,0.02,NA,2018,"RSV"
"311",51,"0.09","1.5","0.14","0.05",NA,NA,"0.04",NA,NA,"0.02",NA,"0.04",NA,NA,NA,NA,NA,NA,NA,2018,"RSV"
"312",52,"0.07","1.33",NA,NA,NA,NA,NA,NA,NA,"0.02",NA,NA,NA,"0.02",NA,NA,0.02,NA,NA,2018,"RSV"
"313",1,"0.72","2.65","0.67","0.27","0.23","0.63","0.63","0.66","0.59","0.53","0.57","0.54","0.56","0.69",0.64,0.76,0.85,1.02,NA,2019,"Flu"
"314",2,"1.79","4.7","2.39","1.08","1.45","1.48","1.46","2","1.74","1.49","1.93","1.98","1.42","1.38",1.32,1.25,1.68,1.9,NA,2019,"Flu"
"315",3,"3.18","12.02","5.96","2.54","1.98","1.87","2.68","3.46","3.1","3.06","3.2","2.53","2.67","2.3",1.4,1.96,2.48,2.73,NA,2019,"Flu"
"316",4,"5.91","22.47","14.33","4.89","3.81","3.58","4.79","4.71","6.26","5.56","5.1","5.29","4.81","4.11",2.86,3.54,3.84,4.86,NA,2019,"Flu"
"317",5,"12.7","39.13","27.37","10.75","9.95","8.05","10.42","11.9","13.67","13.1","12.95","12.43","10.63","9.88",5.78,8.17,8.54,9.61,NA,2019,"Flu"
"318",6,"20.33","59.7","38.32","17.58","18.73","12.93","16.91","18.43","21.55","20.33","20.54","18.7","17.89","15.3",11.94,13.45,14.86,17.37,NA,2019,"Flu"
"319",7,"29.95","84.11","53.34","24.82","24.14","18.25","23.1","28.31","30.63","30.07","31.02","29.86","27.43","23.34",18.85,19.79,22.91,29.18,NA,2019,"Flu"
"320",8,"32.46","96.91","54.41","24.33","24.98","21.33","23.94","29.37","32.25","31.82","31.67","29.61","28.9","27.85",21.44,24.03,26.52,34.24,NA,2019,"Flu"
"321",9,"30.18","86.03","51.41","24.6","22.87","18.81","22.92","27.11","28.74","28.74","28.37","27.27","27.95","24.74",20.85,21.72,27.58,33.83,NA,2019,"Flu"
"322",10,"26.63","72.02","42.45","20.71","21.78","17.32","19.67","25.37","25.22","23.63","24.05","23.47","24.21","21.87",19.84,22.51,25.69,32.63,NA,2019,"Flu"
"323",11,"21.78","56.77","36.97","17.18","19.09","14.26","16.51","19.98","22.08","19.92","19.49","19","20.19","18.01",15.19,16.82,19.22,25.73,NA,2019,"Flu"
"324",12,"16.48","47.18","29.22","14.26","18.94","9.59","10.48","13.12","14.26","13.99","13.56","13.87","14.55","13.99",11.59,13.66,15.32,21.1,NA,2019,"Flu"
"325",13,"10.77","30.34","18.65","9.83","10.03","6.66","6.27","9.06","9.93","8.94","9.44","8.9","8.74","8.89",8.23,9.42,11.66,13.55,NA,2019,"Flu"
"326",14,"6.26","18.18","10.73","6.62","4.7","3.34","4.24","5.22","5.54","5.26","5.01","4.8","5.09","5.42",4.2,5.88,6.55,9.12,NA,2019,"Flu"
"327",15,"3.73","9.14","5.37","3.89","2.87","1.97","2.62","3","3.35","3.56","2.77","2.95","3.22","3.17",3.21,3.08,4.33,6.34,NA,2019,"Flu"
"328",16,"1.72","4.44","2.25","1.65","1.55","1.24","1.02","1.53","1.47","1.2","1.1","1.16","1.35","1.52",1.56,1.93,2.37,2.9,NA,2019,"Flu"
"329",17,"1.18","2.6","1.31","0.54","0.94","0.69","0.55","0.91","0.78","0.65","0.8","0.77","0.95","1.03",0.99,1.61,2.79,2.59,NA,2019,"Flu"
"330",18,"0.53","1.19","0.51","0.35","0.2","0.26","0.35","0.53","0.55","0.24","0.28","0.49","0.42","0.5",0.62,0.71,0.83,1.04,NA,2019,"Flu"
"331",19,"0.37","0.86","0.59","0.46","0.58","0.28","0.35","0.16","0.34","0.16","0.25","0.27","0.27","0.23",0.33,0.3,0.54,0.51,NA,2019,"Flu"
"332",20,"0.23","0.56","0.24","0.16","0.2","0.26","0.08","0.25","0.3","0.24","0.06","0.09","0.13","0.28",0.23,0.22,0.41,0.4,NA,2019,"Flu"
"333",21,"0.17","0.45","0.19","0.14","0.13","0.07","0.14","0.13","0.09","0.12","0.11","0.15","0.21","0.14",0.1,0.11,0.39,0.25,NA,2019,"Flu"
"334",22,"0.1","0.25","0.11","0.05","0.1","0.04","0.08","0.07","0.13","0.06","0.02","0.07","0.1","0.02",0.04,0.14,0.13,0.3,NA,2019,"Flu"
"335",23,"0.07","0.28","0.08","0.16","0.05","0.02","0.02","0.07","0.02","0.02","0.04","0.03","0.09","0.07",0.06,0.14,0.03,0.11,NA,2019,"Flu"
"336",24,"0.04","0.13","0.03",NA,NA,"0.07","0.02","0.05","0.02","0.02",NA,"0.01","0.04","0.09",0.02,0.14,NA,NA,NA,2019,"Flu"
"337",25,"0.02","0.03",NA,"0.03",NA,"0.04","0.02",NA,NA,NA,"0.02","0.04","0.03","0.02",NA,NA,0.03,NA,NA,2019,"Flu"
"338",26,"0.03","0.1","0.05","0.03","0.03","0.07","0.04",NA,"0.04","0.02","0.04",NA,"0.01","0.02",0.02,NA,0.03,NA,NA,2019,"Flu"
"339",27,"0.03","0.05","0.03",NA,"0.03",NA,NA,"0.04",NA,NA,"0.02","0.07","0.01","0.07",0.02,0.08,NA,0.02,NA,2019,"Flu"
"340",28,"0.02",NA,NA,NA,NA,NA,"0.06","0.04","0.02",NA,"0.02","0.01","0.01","0.05",NA,0.03,NA,0.02,NA,2019,"Flu"
"341",29,"0.02","0.03",NA,NA,"0.03","0.02",NA,NA,"0.02",NA,"0.08",NA,"0.06","0.04",0.04,NA,0.03,0.04,NA,2019,"Flu"
"342",30,"0.02",NA,NA,NA,"0.03","0.04","0.04",NA,NA,"0.04","0.02","0.01",NA,NA,0.02,0.03,0.05,NA,NA,2019,"Flu"
"343",31,"0.03","0.05",NA,"0.05",NA,"0.09",NA,"0.02",NA,NA,"0.04","0.03",NA,"0.05",0.04,0.03,0.03,0.05,NA,2019,"Flu"
"344",32,"0.02","0.05","0.03",NA,"0.03","0.02","0.02","0.02","0.02",NA,NA,NA,"0.01","0.02",0.02,0.03,NA,0.02,NA,2019,"Flu"
"345",33,"0.02",NA,"0.03",NA,NA,"0.02","0.04","0.07","0.02","0.02",NA,"0.01","0.04","0.02",NA,NA,0.08,0.02,NA,2019,"Flu"
"346",34,"0.02","0.05",NA,"0.05","0.03",NA,"0.06","0.02",NA,"0.02","0.02",NA,"0.01","0.04",NA,0.03,NA,NA,NA,2019,"Flu"
"347",35,"0.02","0.08","0.03",NA,NA,"0.02","0.02","0.02","0.02","0.04",NA,"0.01","0.04","0.02",0.06,NA,0.05,NA,NA,2019,"Flu"
"348",36,"0.03","0.08","0.03",NA,"0.05","0.11","0.02","0.04","0.02","0.04",NA,"0.07",NA,"0.02",0.02,NA,NA,NA,NA,2019,"Flu"
"349",37,"0.04","0.08","0.08","0.08","0.03","0.04","0.02","0.02","0.02","0.06","0.06","0.04","0.06","0.05",0.02,0.03,NA,0.04,NA,2019,"Flu"
"350",38,"0.03","0.08","0.03",NA,"0.03","0.04","0.04",NA,"0.08",NA,NA,"0.03","0.07","0.02",0.06,NA,0.08,0.04,NA,2019,"Flu"
"351",39,"0.05","0.05","0.05",NA,NA,"0.02","0.02","0.09","0.04","0.14","0.02","0.07","0.06","0.02",0.06,0.08,NA,0.05,NA,2019,"Flu"
"352",40,"0.04","0.08","0.05",NA,"0.03","0.04","0.1","0.05","0.04","0.08","0.02","0.06","0.01","0.04",0.06,0.03,NA,0.02,NA,2019,"Flu"
"353",41,"0.07","0.1","0.05","0.03","0.03","0.13","0.12","0.09","0.09",NA,"0.09","0.13","0.04","0.04",0.06,0.03,0.08,0.11,NA,2019,"Flu"
"354",42,"0.14","0.45","0.21","0.03","0.05","0.15","0.08","0.09","0.08","0.04","0.15","0.09","0.15","0.14",0.14,0.3,0.18,0.16,NA,2019,"Flu"
"355",43,"0.1","0.25","0.19","0.08","0.03","0.13","0.1","0.15","0.04","0.12","0.08","0.1","0.12","0.05",NA,0.11,0.05,0.12,NA,2019,"Flu"
"356",44,"0.09","0.2","0.21","0.03","0.08","0.02","0.18","0.09","0.06","0.04","0.08","0.04","0.1","0.11",0.06,0.05,0.05,0.07,NA,2019,"Flu"
"357",45,"0.12","0.25","0.27","0.22","0.18","0.15","0.06","0.15","0.09","0.08","0.11","0.06","0.06","0.05",0.08,0.08,0.15,0.18,NA,2019,"Flu"
"358",46,"0.14","0.3","0.46","0.14","0.08","0.07","0.16","0.13","0.17","0.08","0.17","0.06","0.09","0.11",0.08,0.14,0.23,0.05,NA,2019,"Flu"
"359",47,"0.2","0.76","0.24","0.14","0.13","0.2","0.24","0.24","0.21","0.16","0.17","0.16","0.21","0.18",0.1,0.08,0.05,0.19,NA,2019,"Flu"
"360",48,"0.38","1.82","0.99","0.24","0.13","0.11","0.43","0.44","0.28","0.39","0.28","0.18","0.27","0.28",0.37,0.3,0.23,0.16,NA,2019,"Flu"
"361",49,"0.5","1.92","1.45","0.57","0.28","0.3","0.59","0.6","0.55","0.49","0.36","0.25","0.37","0.21",0.23,0.27,0.34,0.32,NA,2019,"Flu"
"362",50,"0.95","3.41","2.5","1.81","0.76","0.78","0.61","1.02","0.89","0.57","0.8","0.77","0.56","0.57",0.37,0.63,0.46,0.81,NA,2019,"Flu"
"363",51,"1.76","5.76","5.15","3.21","2.41","0.87","1.24","1.95","1.49","1.41","1.23","1.4","1.11","0.8",0.82,1.25,1.34,1.02,NA,2019,"Flu"
"364",52,"1","3.38","2.87","1.35","0.86","0.35","1.08","1.18","0.7","0.61","0.78","0.75","0.47","0.58",0.39,0.73,0.95,1.16,NA,2019,"Flu"
"365",1,"0.11","1.99","0.03",NA,NA,"0.02",NA,NA,"0.02","0.04",NA,NA,NA,"0.04",NA,0.08,NA,0.04,NA,2019,"RSV"
"366",2,"0.12","1.89","0.05",NA,"0.08",NA,"0.06","0.02",NA,NA,"0.04","0.03","0.03","0.02",0.04,0.16,NA,0.07,NA,2019,"RSV"
"367",3,"0.27","4.7","0.24","0.05","0.1",NA,"0.02","0.05","0.02","0.04",NA,"0.04","0.01","0.04",0.02,0.03,0.05,0.05,NA,2019,"RSV"
"368",4,"0.44","7.93","0.38","0.08","0.08","0.07","0.02","0.02","0.06",NA,"0.06","0.09","0.06","0.07",0.04,NA,0.08,0.04,NA,2019,"RSV"
"369",5,"0.56","9.39","0.86","0.3","0.2","0.02",NA,"0.09","0.02","0.04","0.09","0.12","0.07","0.04",0.08,0.03,0.03,0.14,NA,2019,"RSV"
"370",6,"0.77","12.5","0.7","0.35","0.13","0.02","0.1","0.24","0.11","0.1","0.08","0.15","0.1","0.12",0.14,0.16,0.15,0.37,NA,2019,"RSV"
"371",7,"0.84","13.53","0.8","0.43","0.25","0.13","0.18","0.22","0.08","0.18","0.11","0.09","0.13","0.14",0.08,0.14,0.36,0.28,NA,2019,"RSV"
"372",8,"0.78","11.86","0.67","0.19","0.1","0.09","0.16","0.22","0.21","0.14","0.11","0.18","0.27","0.12",0.19,0.33,0.23,0.46,NA,2019,"RSV"
"373",9,"0.58","7.67","0.48","0.08","0.08","0.09","0.14","0.15","0.19","0.16","0.13","0.13","0.28","0.21",0.16,0.19,0.36,0.67,NA,2019,"RSV"
"374",10,"0.52","6.71","0.59","0.19","0.13","0.02","0.1","0.18","0.15","0.1","0.17","0.18","0.25","0.27",0.35,0.14,0.39,0.3,NA,2019,"RSV"
"375",11,"0.47","5.83","0.78","0.22","0.05","0.09","0.06","0.09","0.13","0.06","0.09","0.18","0.12","0.14",0.21,0.24,0.41,0.51,NA,2019,"RSV"
"376",12,"0.35","4.47","0.35","0.24","0.1","0.07","0.12","0.09","0.06","0.02","0.06","0.15","0.15","0.16",0.16,0.3,0.21,0.26,NA,2019,"RSV"
"377",13,"0.23","2.12","0.16","0.32","0.1","0.07","0.04",NA,"0.06","0.04","0.08","0.06","0.18","0.04",0.19,0.24,0.21,0.42,NA,2019,"RSV"
"378",14,"0.17","1.79","0.16","0.03","0.1",NA,"0.02","0.07","0.04","0.04","0.09","0.07","0.07","0.11",0.08,0.14,0.15,0.25,NA,2019,"RSV"
"379",15,"0.09","1.14","0.05","0.19","0.03","0.04",NA,"0.02","0.04",NA,"0.04",NA,"0.01",NA,0.06,0.11,0.08,0.11,NA,2019,"RSV"
"380",16,"0.04","0.45","0.05","0.03",NA,NA,NA,NA,"0.02",NA,"0.02",NA,"0.03","0.02",0.04,NA,0.05,0.07,NA,2019,"RSV"
"381",17,"0.03","0.38","0.03",NA,NA,NA,NA,"0.02",NA,NA,NA,NA,"0.01","0.02",0.04,0.03,0.03,0.05,NA,2019,"RSV"
"382",18,"0.02","0.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.01","0.02",0.02,NA,0.03,0.09,NA,2019,"RSV"
"383",19,"0.01","0.15",NA,NA,NA,NA,NA,"0.02",NA,NA,NA,NA,NA,NA,NA,NA,0.05,0.04,NA,2019,"RSV"
"384",20,"0","0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.02",NA,NA,NA,NA,NA,2019,"RSV"
"385",21,"0","0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,"RSV"
"386",22,"0","0.08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,"RSV"
"387",23,"0","0.05",NA,NA,NA,NA,NA,NA,NA,NA,"0.02",NA,NA,NA,NA,NA,NA,NA,NA,2019,"RSV"
"388",24,"0","0.03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,"RSV"
"389",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,"RSV"
"390",26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,"RSV"
"391",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,"RSV"
"392",28,"0","0.03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,"RSV"
"393",29,"0","0.03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,"RSV"
"394",30,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,NA,2019,"RSV"
"395",31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,"RSV"
"396",32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,"RSV"
"397",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,"RSV"
"398",34,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.01",NA,"0.02",NA,NA,NA,NA,NA,2019,"RSV"
"399",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,"RSV"
"400",36,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,NA,NA,NA,NA,2019,"RSV"
"401",37,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.01",NA,NA,NA,NA,NA,NA,NA,2019,"RSV"
"402",38,"0",NA,NA,"0.03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,"RSV"
"403",39,"0","0.03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,"RSV"
"404",40,"0",NA,NA,NA,NA,NA,NA,NA,NA,"0.02",NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,"RSV"
"405",41,"0","0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,NA,NA,NA,NA,2019,"RSV"
"406",42,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,NA,2019,"RSV"
"407",43,"0","0.03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,"RSV"
"408",44,"0","0.03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,"RSV"
"409",45,"0","0.1",NA,"0.03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,NA,NA,NA,NA,2019,"RSV"
"410",46,"0","0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,"RSV"
"411",47,"0","0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,"RSV"
"412",48,"0.01","0.15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.03,0.02,NA,2019,"RSV"
"413",49,"0.01","0.28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,"RSV"
"414",50,"0.02","0.35",NA,"0.03",NA,NA,NA,NA,"0.02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,"RSV"
"415",51,"0.03","0.56","0.03",NA,NA,NA,NA,NA,NA,"0.02",NA,NA,NA,"0.02",NA,NA,NA,NA,NA,2019,"RSV"
"416",52,"0.02","0.3",NA,NA,NA,NA,NA,"0.02",NA,NA,NA,NA,NA,NA,0.02,NA,NA,0.02,NA,2019,"RSV"
"417",1,"405.99","229.77","469.38","575.46","791.72","905.56","768.73","593.58","511.32","477.72","435.33","354.66","277.68","199.6",137.9,109.79,93.16,107.76,NA,2022,"COV"
"418",2,"583.91","478.9","1,097.90","1,165.87","1,221.12","1,039.62","930.97","794.06","735.68","701.3","634.82","482.47","347.32","244.13",151.87,115.74,95.46,115.24,NA,2022,"COV"
"419",3,"956.66","1,033.05","2,410.30","2,246.42","1,669.20","1,329.19","1,290.83","1,274.04","1,325.05","1,218.40","989.6","701.93","527.12","382.23",231.69,173.53,148.64,188.35,NA,2022,"COV"
"420",4,"1,338.59","1,295.84","3,390.26","3,447.69","2,264.21","1,657.10","1,604.59","1,753.06","1,961.07","1,865.85","1,421.76","968.87","737","553.2",328.25,249.47,216.04,269.91,NA,2022,"COV"
"421",5,"1,552.95","1,306.51","3,620.70","3,847.99","2,615.09","1,880.74","1,822.85","2,005.89","2,337.61","2,234.90","1,724.20","1,180.14","916.44","700.91",428.81,330.03,283.73,384.05,NA,2022,"COV"
"422",6,"1,573.70","1,326.91","3,358.78","3,558.77","2,603.88","1,930.78","1,860.31","2,033.04","2,327.81","2,238.78","1,757.69","1,260.56","1,013.86","792.07",496.36,392.83,342.25,486.3,NA,2022,"COV"
"423",7,"1,433.68","1,205.33","2,795.89","2,840.05","2,265.18","1,857.92","1,765.64","1,879.52","2,092.52","1,984.59","1,595.80","1,210.66","1,005.33","796.11",501.96,407.5,362.98,517.76,NA,2022,"COV"
"424",8,"1,313.07","1,145.14","2,380.57","2,319.54","1,962.44","1,733.77","1,645.52","1,737.63","1,894.70","1,770.94","1,447.23","1,150.81","983.15","788.15",507.98,418.33,384.28,545.66,NA,2022,"COV"
"425",9,"1,360.87","1,095.58","2,145.24","2,028.23","2,118.20","2,105.64","1,925.76","1,854.67","1,896.59","1,755.65","1,486.02","1,242.55","1,049.99","835.01",542.54,452.9,397.75,545.63,NA,2022,"COV"
"426",10,"1,697.89","1,192.08","2,505.88","2,662.56","2,991.89","2,688.92","2,329.03","2,179.63","2,183.89","2,105.29","1,850.79","1,610.14","1,376.38","1,097.09",723.48,620.35,547.93,679.37,NA,2022,"COV"
"427",11,"1,900.84","1,275.01","2,636.97","3,033.77","3,028.71","2,760.45","2,518.06","2,404.44","2,428.46","2,363.17","2,129.88","1,896.50","1,665.74","1,333.94",898.08,779.41,701.43,812.69,NA,2022,"COV"
"428",12,"1,908.80","1,305.80","2,703.14","3,051.05","2,859.54","2,528.79","2,397.80","2,391.67","2,470.58","2,419.50","2,181.75","1,928.67","1,718.77","1,408.73",953.5,836.56,756.65,837.02,NA,2022,"COV"
"429",13,"1,556.04","985.4","1,990.00","2,376.92","2,279.40","2,003.81","1,954.96","1,938.24","1,985.23","1,976.62","1,793.11","1,619.44","1,455.22","1,204.81",831.39,729.09,652.09,718.74,NA,2022,"COV"
"430",14,"1,183.40","753.52","1,466.18","1,679.27","1,658.62","1,540.69","1,506.68","1,512.46","1,531.96","1,490.17","1,361.61","1,251.30","1,144.36","933.44",632.36,548.99,488.66,543.04,NA,2022,"COV"
"431",15,"936.71","584.13","1,001.12","1,053.46","1,258.67","1,305.64","1,276.65","1,240.44","1,237.72","1,187.62","1,096.72","1,007.81","934.86","775.65",531.01,460.5,414.25,437.72,NA,2022,"COV"
"432",16,"880.06","417.55","714.35","882.26","1,126.19","1,310.44","1,266.55","1,171.40","1,130.38","1,121.31","1,093.64","1,028.51","934.76","756.1",515.49,441.14,394.17,398.99,NA,2022,"COV"
"433",17,"717.74","335.09","672.97","906.65","1,053.49","1,036.83","984.87","905.48","845.82","859.56","854.58","821.24","740.57","611.89",419.01,375.63,336.82,350.59,NA,2022,"COV"
"434",18,"566.68","293.96","590.64","745.86","702.67","720.39","752.67","736.49","714.76","714.36","687.38","648.18","604.72","488.85",326.88,289.03,257.25,260.39,NA,2022,"COV"
"435",19,"491.28","233.11","511.53","693.08","624.91","608.49","643.55","635.75","638.12","647.96","610.52","554.98","504.4","416.11",280.8,251,221.85,211.24,NA,2022,"COV"
"436",20,"351.67","145.17","307.04","493.07","477.22","444.07","462.85","447.33","442.33","458.29","446.43","407.06","363.07","299.51",213.05,192.58,168.33,157.83,NA,2022,"COV"
"437",21,"224.88","82.76","164.4","276.4","283.25","290.46","319.78","304.65","286.81","295.79","285.44","262.23","237.6","197.78",135.77,123.19,111.38,103.07,NA,2022,"COV"
"438",22,"294.37","91.11","159.28","265.37","378.84","429.25","477.24","424.36","363.53","364.92","378.81","368.72","327.41","260.99",175.91,156.42,136.13,117.33,NA,2022,"COV"
"439",23,"397.83","116.27","196.47","346.74","484.22","605.77","672.37","576.58","496.12","492.9","502.75","502.88","462.17","361.51",228.93,196.42,166.54,150.4,NA,2022,"COV"
"440",24,"496.55","145.55","252.43","450.31","627.88","733.13","794.53","707.04","619.23","619.76","636.46","632.1","574.15","446.68",292.48,257.57,224.49,191.36,NA,2022,"COV"
"441",25,"689.88","194.6","374.57","713.67","854.88","951.35","1,051.89","944.95","843.94","874.42","908.89","894.6","802.77","626.54",413.63,356.98,317.41,284.77,NA,2022,"COV"
