start_date,year,week
2018-01-07,2018,2
2018-01-14,2018,3
2018-01-21,2018,4
2018-01-28,2018,5
2018-02-04,2018,6
2018-02-11,2018,7
2018-02-18,2018,8
2018-02-25,2018,9
2018-03-04,2018,10
2018-03-11,2018,11
2018-03-18,2018,12
2018-03-25,2018,13
2018-04-01,2018,14
2018-04-08,2018,15
2018-04-15,2018,16
2018-04-22,2018,17
2018-04-29,2018,18
2018-05-06,2018,19
2018-05-13,2018,20
2018-05-20,2018,21
2018-05-27,2018,22
2018-06-03,2018,23
2018-06-10,2018,24
2018-06-17,2018,25
2018-06-24,2018,26
2018-07-01,2018,27
2018-07-08,2018,28
2018-07-15,2018,29
2018-07-22,2018,30
2018-07-29,2018,31
2018-08-05,2018,32
2018-08-12,2018,33
2018-08-19,2018,34
2018-08-26,2018,35
2018-09-02,2018,36
2018-09-09,2018,37
2018-09-16,2018,38
2018-09-23,2018,39
2018-09-30,2018,40
2018-10-07,2018,41
2018-10-14,2018,42
2018-10-21,2018,43
2018-10-28,2018,44
2018-11-04,2018,45
2018-11-11,2018,46
2018-11-18,2018,47
2018-11-25,2018,48
2018-12-02,2018,49
2018-12-09,2018,50
2018-12-16,2018,51
2018-12-23,2018,52
2018-12-30,2019,1
2019-01-06,2019,2
2019-01-13,2019,3
2019-01-20,2019,4
2019-01-27,2019,5
2019-02-03,2019,6
2019-02-10,2019,7
2019-02-17,2019,8
2019-02-24,2019,9
2019-03-03,2019,10
2019-03-10,2019,11
2019-03-17,2019,12
2019-03-24,2019,13
2019-03-31,2019,14
2019-04-07,2019,15
2019-04-14,2019,16
2019-04-21,2019,17
2019-04-28,2019,18
2019-05-05,2019,19
2019-05-12,2019,20
2019-05-19,2019,21
2019-05-26,2019,22
2019-06-02,2019,23
2019-06-09,2019,24
2019-06-16,2019,25
2019-06-23,2019,26
2019-06-30,2019,27
2019-07-07,2019,28
2019-07-14,2019,29
2019-07-21,2019,30
2019-07-28,2019,31
2019-08-04,2019,32
2019-08-11,2019,33
2019-08-18,2019,34
