week,hsp_rsv_rate,year,age
40,0.53690421581268311,2022,ALL
40,1.697192907333374,2018,ALL
40,1.3256529569625854,2017,ALL
41,0.4633445143699646,2022,ALL
41,2.3773884773254395,2018,ALL
41,1.8235619068145752,2017,ALL
42,1.279474139213562,2022,ALL
42,2.1448304653167725,2018,ALL
42,2.9983177185058594,2017,ALL
43,1.438102126121521,2022,ALL
43,3.1928348541259766,2018,ALL
43,4.0106410980224609,2017,ALL
44,1.7141278982162476,2022,ALL
44,4.3860764503479004,2018,ALL
44,4.0607743263244629,2017,ALL
45,1.4334843158721924,2022,ALL
45,4.6749796867370605,2018,ALL
45,3.3925454616546631,2017,ALL
46,2.1975791454315186,2022,ALL
46,3.4853081703186035,2018,ALL
46,3.8602421283721924,2017,ALL
47,3.1164019107818604,2022,ALL
47,2.4129056930541992,2018,ALL
47,3.1201457977294922,2017,ALL
48,2.2649381160736084,2022,ALL
48,2.3753366470336914,2018,ALL
48,2.6821162700653076,2017,ALL
49,2.2336442470550537,2022,ALL
49,1.6465147733688354,2018,ALL
49,2.4945712089538574,2017,ALL
50,2.3138949871063232,2022,ALL
50,2.4801645278930664,2018,ALL
50,2.1440942287445068,2017,ALL
51,2.2368326187133789,2022,ALL
51,2.1423583030700684,2018,ALL
51,1.8008216619491577,2017,ALL
52,1.8799610137939453,2022,ALL
52,1.2860112190246582,2018,ALL
52,1.2864028215408325,2017,ALL
1,1.6898816823959351,2023,ALL
1,1.2606687545776367,2019,ALL
1,0.9651026725769043,2018,ALL
2,0.61210238933563232,2019,ALL
2,0.73930007219314575,2018,ALL
3,0.52863389253616333,2019,ALL
3,0.74048668146133423,2018,ALL
4,0.62001711130142212,2019,ALL
4,0.54025775194168091,2018,ALL
5,0.3898102343082428,2019,ALL
5,0.76814061403274536,2018,ALL
6,0.27776449918746948,2019,ALL
6,0.47920593619346619,2018,ALL
7,0.21685561537742615,2019,ALL
7,0.69702684879302979,2018,ALL
8,0.20918707549571991,2019,ALL
8,0.30194616317749023,2018,ALL
9,0.2754286527633667,2019,ALL
9,0.45291924476623535,2018,ALL
10,0.21685561537742615,2019,ALL
10,0.38436579704284668,2018,ALL
11,0.14944800734519958,2019,ALL
11,0.35868978500366211,2018,ALL
12,0.14457041025161743,2019,ALL
12,0.33968943357467651,2018,ALL
13,0,2019,ALL
13,0.22645962238311768,2018,ALL
14,0.19864997267723083,2019,ALL
14,0.14328043162822723,2018,ALL
15,0.22210492193698883,2019,ALL
15,0.22645962238311768,2018,ALL
16,0.28247389197349548,2019,ALL
16,0.14328043162822723,2018,ALL
17,0.1531907320022583,2019,ALL
17,0.4595721960067749,2018,ALL
18,0,2019,ALL
18,0,2018,ALL
19,0,2019,ALL
19,0,2018,ALL
20,0,2019,ALL
20,0,2018,ALL
