id,data_source,country,hemisphere,week,year,age_group,no_hsp,hsp_flu,hsp_rsv,hsp_covid19,cases_flu,cases_rsv,cases_covid19,denominator,influenza_a,influenza_b
53,SARI Watch//UKHSA,uk,nh,40,2017,ALL,814,76.41663862,737,,,,,55619430,,
54,SARI Watch//UKHSA,uk,nh,41,2017,ALL,1059,45.23460771,1014,,,,,55619430,,
55,SARI Watch//UKHSA,uk,nh,42,2017,ALL,1703,34.96961992,1668,,,,,55619430,,
56,SARI Watch//UKHSA,uk,nh,43,2017,ALL,2291,59.97905766,2231,,,,,55619430,,
57,SARI Watch//UKHSA,uk,nh,44,2017,ALL,2285,26.42591521,2259,,,,,55619430,,
58,SARI Watch//UKHSA,uk,nh,45,2017,ALL,1925,37.80615941,1887,,,,,55619430,,
59,SARI Watch//UKHSA,uk,nh,46,2017,ALL,2283,136.4390339,2147,,,,,55619430,,
60,SARI Watch//UKHSA,uk,nh,47,2017,ALL,1928,192.775815,1735,,,,,55619430,,
61,SARI Watch//UKHSA,uk,nh,48,2017,ALL,1788,296.0975631,1492,,,,,55619430,,
62,SARI Watch//UKHSA,uk,nh,49,2017,ALL,1820,432.7060689,1387,,,,,55619430,,
63,SARI Watch//UKHSA,uk,nh,50,2017,ALL,1913,720.1376615,1193,,,,,55619430,,
64,SARI Watch//UKHSA,uk,nh,51,2017,ALL,2588,1586.601506,1002,,,,,55619430,,
65,SARI Watch//UKHSA,uk,nh,52,2017,ALL,2769,2053.73399,715,,,,,55619430,,
66,SARI Watch//UKHSA,uk,nh,1,2018,ALL,4058,3521.627517,537,,,,,55619430,,
67,SARI Watch//UKHSA,uk,nh,2,2018,ALL,4805,4393.565049,411,,,,,55619430,,
68,SARI Watch//UKHSA,uk,nh,3,2018,ALL,4314,3902.051962,412,,,,,55619430,,
69,SARI Watch//UKHSA,uk,nh,4,2018,ALL,4063,3762.180693,300,,,,,55619430,,
70,SARI Watch//UKHSA,uk,nh,5,2018,ALL,3567,3139.504907,427,,,,,55619430,,
71,SARI Watch//UKHSA,uk,nh,6,2018,ALL,3322,3055.77973,267,,,,,55619430,,
72,SARI Watch//UKHSA,uk,nh,7,2018,ALL,3862,3474.791767,388,,,,,55619430,,
73,SARI Watch//UKHSA,uk,nh,8,2018,ALL,3625,3457.235919,168,,,,,55619430,,
74,SARI Watch//UKHSA,uk,nh,9,2018,ALL,2588,2336.503948,252,,,,,55619430,,
75,SARI Watch//UKHSA,uk,nh,10,2018,ALL,2313,2099.465655,214,,,,,55619430,,
76,SARI Watch//UKHSA,uk,nh,11,2018,ALL,2024,1824.036957,200,,,,,55619430,,
77,SARI Watch//UKHSA,uk,nh,12,2018,ALL,1825,1636.185936,189,,,,,55619430,,
78,SARI Watch//UKHSA,uk,nh,13,2018,ALL,1543,1417.240815,126,,,,,55619430,,
79,SARI Watch//UKHSA,uk,nh,14,2018,ALL,1258,1177.877787,80,,,,,55619430,,
80,SARI Watch//UKHSA,uk,nh,15,2018,ALL,707,581.4726524,126,,,,,55619430,,
81,SARI Watch//UKHSA,uk,nh,16,2018,ALL,417,336.8805644,80,,,,,55619430,,
82,SARI Watch//UKHSA,uk,nh,17,2018,ALL,421,165.2072891,256,,,,,55619430,,
83,SARI Watch//UKHSA,uk,nh,18,2018,ALL,79,78.60546724,0,,,,,55619430,,
84,SARI Watch//UKHSA,uk,nh,19,2018,ALL,50,50.38219394,0,,,,,55619430,,
85,SARI Watch//UKHSA,uk,nh,20,2018,ALL,48,48.15365779,0,,,,,55619430,,
86,SARI Watch//UKHSA,uk,nh,40,2018,ALL,972,21.80509603,950,,,,,55977178,,
87,SARI Watch//UKHSA,uk,nh,41,2018,ALL,1370,38.82051311,1331,,,,,55977178,,
88,SARI Watch//UKHSA,uk,nh,42,2018,ALL,1212,10.90254801,1201,,,,,55977178,,
