data_source,country,hemisphere,week,year,origin_source,hsp_rate_flu,hsp_rate_rsv,hsp_abs_flu,hsp_abs_rsv,denominator,subtype_a_abs,subtype_b_abs
fluNet,France,NH,46,2016,NONSENTINEL,0.05998029887103282,0.45734977889162526,40,305,66688564,40,0
fluNet,France,NH,46,2016,SENTINEL,0.022492612076637306,0.01949359713308567,15,13,66688564,15,0
fluNet,France,NH,47,2016,NONSENTINEL,0.10496552302430744,0.6417891979200512,70,428,66688564,62,8
fluNet,France,NH,47,2016,SENTINEL,0.03298916437906805,0.025491627020188947,22,17,66688564,20,2
fluNet,France,NH,48,2016,NONSENTINEL,0.1694443443106677,0.9012039905372682,113,601,66688564,105,8
fluNet,France,NH,48,2016,SENTINEL,0.04798423909682626,0.022492612076637306,32,15,66688564,32,0
fluNet,France,NH,49,2016,SENTINEL,0.11246306038318653,0.046484731625050436,75,31,66688564,75,0
fluNet,France,NH,49,2016,NONSENTINEL,0.4018680024359199,1.1846109027028981,268,790,66688564,265,3
fluNet,France,NH,50,2016,SENTINEL,0.21742858340749396,0.05248276151215372,145,35,66688564,144,1
fluNet,France,NH,50,2016,NONSENTINEL,1.0871429170374698,1.3480572171264626,725,899,66688564,723,2
fluNet,France,NH,51,2016,NONSENTINEL,2.3107410140065396,1.5849793976670425,1541,1057,66688564,1533,8
fluNet,France,NH,51,2016,SENTINEL,0.21293006099216652,0.03598817932261969,142,24,66688564,142,0
fluNet,France,NH,52,2016,NONSENTINEL,3.2464336763946515,1.577481860308163,2165,1052,66688564,2154,11
fluNet,France,NH,52,2016,SENTINEL,0.15145025464935788,0.026991134491964767,101,18,66688564,101,0
fluNet,France,NH,1,2017,SENTINEL,0.18988291565246887,0.02840768029446385,127,19,66883321,127,0
fluNet,France,NH,1,2017,NONSENTINEL,2.8796416972177563,1.205083700912519,1926,806,66883321,1916,10
fluNet,France,NH,2,2017,SENTINEL,0.2706205333314714,0.02691253922633417,181,18,66883321,181,0
fluNet,France,NH,2,2017,NONSENTINEL,2.779467245653068,0.9524048603986037,1859,637,66883321,1853,6
fluNet,France,NH,3,2017,NONSENTINEL,2.0333918526563597,0.8836283712646387,1360,591,66883321,1356,4
fluNet,France,NH,3,2017,SENTINEL,0.25417398158204496,0.025417398158204492,170,17,66883321,170,0
fluNet,France,NH,4,2017,NONSENTINEL,2.142537150629826,0.8552206909701747,1433,572,66883321,1424,9
fluNet,France,NH,4,2017,SENTINEL,0.21679545487880306,0.010465987476907733,145,7,66883321,145,0
fluNet,France,NH,5,2017,NONSENTINEL,2.1245954578122697,0.8507352677657857,1421,569,66883321,1404,17
fluNet,France,NH,5,2017,SENTINEL,0.18539749244807985,0.011961128545037409,124,8,66883321,124,0
fluNet,France,NH,6,2017,SENTINEL,0.10166959263281797,0.017941692817556112,68,12,66883321,68,0
fluNet,France,NH,6,2017,NONSENTINEL,1.1721905974136662,0.7057065841572071,784,472,66883321,773,11
fluNet,France,NH,7,2017,SENTINEL,0.06130078379331672,0.013456269613167085,41,9,66883321,40,1
fluNet,France,NH,7,2017,NONSENTINEL,0.7595316626098755,0.5442313487992021,508,364,66883321,492,16
fluNet,France,NH,8,2017,NONSENTINEL,0.33939702246543646,0.4963868346190525,227,332,66883321,210,17
fluNet,France,NH,8,2017,SENTINEL,0.020931974953815467,0,14,0,66883321,13,1
fluNet,France,NH,9,2017,NONSENTINEL,0.1883877745843392,0.33341645819291776,126,223,66883321,118,8
fluNet,France,NH,9,2017,SENTINEL,0.016446551749426438,0.0029902821362593522,11,2,66883321,10,1
